?label	?full_geom
"Gebäude 010"	"POLYGON((7.8342968 48.0118599,7.8344066 48.0117821,7.8344584 48.0118129,7.8344985 48.0118367,7.8343834 48.0119149,7.8342968 48.0118599))"^^<http://www.opengis.net/ont/geosparql#wktLiteral>
"Campus I"	"POLYGON((7.8313052 48.0148415,7.8314743 48.0147187,7.8316715 48.0148401,7.8316837 48.0148476,7.8316995 48.0148362,7.8319568 48.0149946,7.8317966 48.0151111,7.8315922 48.0149853,7.8315677 48.0150031,7.8313052 48.0148415))"^^<http://www.opengis.net/ont/geosparql#wktLiteral>
"Gebäude 53"	"POLYGON((7.8335631 48.0139807,7.8336082 48.0139807,7.8338741 48.0139803,7.8338743 48.0140407,7.8338587 48.0140408,7.8338589 48.0141029,7.8336207 48.0141032,7.8336207 48.0141126,7.8335635 48.0141127,7.8335631 48.0139807))"^^<http://www.opengis.net/ont/geosparql#wktLiteral>
"Gebäude 54"	"POLYGON((7.8329874 48.0140843,7.8329919 48.0140843,7.8329911 48.0138337,7.8330309 48.0138336,7.8330308 48.0138081,7.8332325 48.0138078,7.8335626 48.0138074,7.8335631 48.0139807,7.8335635 48.0141127,7.8329875 48.0141135,7.8329874 48.0140843))"^^<http://www.opengis.net/ont/geosparql#wktLiteral>
"Gebäude 52"	"POLYGON((7.8338587 48.0140408,7.8338743 48.0140407,7.8338741 48.0139803,7.8338738 48.0138949,7.8338601 48.013895,7.8338599 48.0138611,7.8338598 48.0138212,7.8338762 48.0138211,7.8338757 48.0136738,7.8338669 48.0136739,7.8338667 48.0136355,7.8338666 48.0135986,7.8339093 48.0135986,7.8339093 48.0135885,7.8340095 48.0135883,7.8340095 48.0135998,7.8340539 48.0135998,7.8340542 48.0136732,7.8340413 48.0136732,7.8340418 48.0138192,7.8340505 48.0138191,7.8340508 48.0138947,7.8340369 48.0138948,7.8340375 48.0140424,7.8340429 48.0140424,7.8340431 48.0141149,7.8339614 48.014115,7.8339615 48.0141381,7.8339684 48.0141381,7.8339685 48.0141507,7.83395 48.0141507,7.8339306 48.0141507,7.8339305 48.0141382,7.8339367 48.0141382,7.8339366 48.0141151,7.833859 48.0141152,7.8338589 48.0141029,7.8338587 48.0140408))"^^<http://www.opengis.net/ont/geosparql#wktLiteral>
"Gebäude 103 - Anbau"	"POLYGON((7.8355808 48.0139657,7.8357108 48.0138671,7.835797 48.0138018,7.8359079 48.0138672,7.8356917 48.0140311,7.8355808 48.0139657))"^^<http://www.opengis.net/ont/geosparql#wktLiteral>
"Gebäude 102 - Anbau"	"POLYGON((7.8358313 48.0135677,7.8359614 48.0134685,7.8360345 48.0134128,7.8361448 48.0134776,7.8359416 48.0136325,7.8358313 48.0135677))"^^<http://www.opengis.net/ont/geosparql#wktLiteral>
"Campus III"	"POLYGON((7.830513 48.0154468,7.8306706 48.0153264,7.8308723 48.0154445,7.8308877 48.0154328,7.8309396 48.0154632,7.8309611 48.0154758,7.8311635 48.0155943,7.8310076 48.0157134,7.8308063 48.0155955,7.8307892 48.0156086,7.830513 48.0154468))"^^<http://www.opengis.net/ont/geosparql#wktLiteral>
"Campus II"	"POLYGON((7.8309071 48.015144,7.8309999 48.0150731,7.8310402 48.0150423,7.8310647 48.0150236,7.8310769 48.0150307,7.8312254 48.0151176,7.8312672 48.0151421,7.8312825 48.0151304,7.8313257 48.0151557,7.8313981 48.0151981,7.8315568 48.0152911,7.831401 48.0154101,7.8311993 48.0152921,7.8311823 48.0153051,7.8311 48.0152569,7.8309071 48.015144))"^^<http://www.opengis.net/ont/geosparql#wktLiteral>
"Gebäude 101"	"POLYGON((7.8346338 48.0126612,7.8348921 48.0123905,7.8349457 48.0124216,7.8349855 48.0124448,7.8353244 48.0126418,7.8354091 48.0126911,7.8352246 48.0129047,7.8351623 48.012879,7.8350687 48.0128404,7.8347244 48.0126985,7.8346338 48.0126612))"^^<http://www.opengis.net/ont/geosparql#wktLiteral>
"Gebäude 102 - IMTEK"	"POLYGON((7.8353332 48.0130723,7.8353602 48.0130401,7.8354602 48.0129309,7.8356257 48.0130283,7.8356355 48.0130208,7.8362618 48.0133884,7.8361448 48.0134776,7.8360345 48.0134128,7.8359614 48.0134685,7.8354455 48.0131657,7.8354659 48.0131502,7.8354533 48.0131428,7.8354273 48.0131275,7.8353332 48.0130723))"^^<http://www.opengis.net/ont/geosparql#wktLiteral>
"Gebäude 103 - IMTEK"	"POLYGON((7.8350097 48.0134266,7.835045 48.0133872,7.8351369 48.0132854,7.8352281 48.0133392,7.8352555 48.0133554,7.8353031 48.0133835,7.8353146 48.0133748,7.8360134 48.0137872,7.8359079 48.0138672,7.835797 48.0138018,7.8357108 48.0138671,7.8351229 48.0135201,7.8351427 48.0135051,7.8351303 48.0134978,7.8351053 48.0134831,7.8350097 48.0134266))"^^<http://www.opengis.net/ont/geosparql#wktLiteral>
"Gebäude 104 - IMTEK"	"POLYGON((7.8346827 48.0140174,7.8347034 48.0140015,7.8347634 48.0139553,7.8349177 48.0138366,7.8349287 48.0138282,7.8348924 48.0138071,7.8347448 48.0137184,7.8348096 48.0136457,7.8348987 48.0136995,7.8349316 48.0137187,7.8349747 48.0137438,7.8349841 48.0137365,7.8355804 48.0140836,7.8354854 48.0141566,7.8354469 48.0141342,7.8354241 48.014121,7.8351813 48.0143076,7.8346827 48.0140174))"^^<http://www.opengis.net/ont/geosparql#wktLiteral>
"Gebäude 106"	"POLYGON((7.8333378 48.0146547,7.8334932 48.0144793,7.833657 48.0145439,7.8336726 48.01455,7.8336875 48.0145564,7.8337433 48.0145785,7.8335879 48.0147539,7.8335143 48.0147242,7.8333378 48.0146547))"^^<http://www.opengis.net/ont/geosparql#wktLiteral>
"Gebäude 79"	"POLYGON((7.8323711 48.0135894,7.8328842 48.0135836,7.8328858 48.0136453,7.8328861 48.0136591,7.8328875 48.0137112,7.832682 48.0137135,7.8326821 48.0137185,7.8326641 48.0137187,7.8326425 48.0137189,7.8326424 48.013714,7.8323744 48.0137171,7.8323743 48.0137116,7.8323732 48.0136696,7.8323711 48.0135894))"^^<http://www.opengis.net/ont/geosparql#wktLiteral>
"Gebäude 082"	"POLYGON((7.8330616 48.0130789,7.8332744 48.0129628,7.8333242 48.0129405,7.8333555 48.0129257,7.833388 48.0129122,7.8334495 48.0128897,7.8336287 48.0128441,7.8336608 48.0129004,7.8336641 48.0129055,7.8336853 48.0129384,7.8336811 48.0129891,7.8336751 48.013089,7.8335422 48.0131223,7.8334739 48.0130599,7.8334324 48.0130788,7.8336463 48.0132651,7.8334833 48.0133483,7.8334108 48.0132883,7.8333914 48.0133013,7.833258 48.0131942,7.8332134 48.0132051,7.833124 48.0131276,7.8330616 48.0130789))"^^<http://www.opengis.net/ont/geosparql#wktLiteral>
"Gebäude 74"	"POLYGON((7.8310483 48.0144497,7.83151 48.0141046,7.8315633 48.0141365,7.8316434 48.0141844,7.8317266 48.0142342,7.8316677 48.0142782,7.8317302 48.0143157,7.8313843 48.0145742,7.8313273 48.0146168,7.8310483 48.0144497))"^^<http://www.opengis.net/ont/geosparql#wktLiteral>
"Gebäude 78"	"POLYGON((7.8318506 48.013874,7.8319661 48.0138725,7.8319884 48.0138722,7.8321036 48.0138706,7.8321301 48.0138703,7.8322449 48.0138686,7.8322697 48.0138682,7.8324221 48.013866,7.8324354 48.0138658,7.8324465 48.0138657,7.8325977 48.0138638,7.8326212 48.0138635,7.8327386 48.013862,7.8327662 48.0138617,7.8328428 48.0138607,7.8328487 48.0140562,7.8328505 48.0141183,7.8327718 48.0141194,7.8327717 48.0141149,7.831935 48.014126,7.8319352 48.0141311,7.8318584 48.0141322,7.8318551 48.0140245,7.8318506 48.013874))"^^<http://www.opengis.net/ont/geosparql#wktLiteral>
"Gebäude 76"	"POLYGON((7.8316434 48.0141844,7.8317467 48.0141064,7.8318551 48.0140245,7.8318584 48.0141322,7.8318271 48.0141572,7.8317266 48.0142342,7.8316434 48.0141844))"^^<http://www.opengis.net/ont/geosparql#wktLiteral>
"Gebäude 80"	"POLYGON((7.8329725 48.013301,7.83305 48.0132988,7.8330493 48.013322,7.8330807 48.0133219,7.8331776 48.0133216,7.8331783 48.0133449,7.8331891 48.0137061,7.833101 48.0137073,7.8331004 48.0136887,7.8330521 48.0136896,7.8329843 48.0136903,7.8329725 48.013301))"^^<http://www.opengis.net/ont/geosparql#wktLiteral>
"Campus IV A"	"POLYGON((7.8311236 48.0158028,7.8312916 48.0156797,7.8315294 48.0158251,7.8315371 48.0158158,7.831561 48.015831,7.8316611 48.0158949,7.8314809 48.0160213,7.8311236 48.0158028))"^^<http://www.opengis.net/ont/geosparql#wktLiteral>
"Campus IV B"	"POLYGON((7.8315424 48.0154974,7.8317145 48.0153753,7.8320689 48.0155989,7.8318883 48.0157255,7.8317891 48.0156622,7.8317718 48.0156512,7.8317758 48.0156447,7.8315424 48.0154974))"^^<http://www.opengis.net/ont/geosparql#wktLiteral>
"Gebäude 75"	"POLYGON((7.8316677 48.0142782,7.8317266 48.0142342,7.8317891 48.0142716,7.8317302 48.0143157,7.8316677 48.0142782))"^^<http://www.opengis.net/ont/geosparql#wktLiteral>
"Gebäude 51"	"POLYGON((7.8338025 48.0134209,7.8338049 48.0133632,7.8338987 48.0133641,7.8339024 48.0131931,7.8338406 48.0131925,7.8338414 48.0131567,7.8338421 48.0131231,7.833903 48.0131237,7.8339068 48.0129468,7.8338156 48.0129459,7.8338178 48.0128415,7.8339384 48.0128426,7.8340325 48.0128435,7.834032 48.0128663,7.8340315 48.0128892,7.8340283 48.0130417,7.8340643 48.013042,7.8340606 48.0132139,7.8340593 48.0132766,7.8340255 48.0132763,7.8340213 48.0134731,7.8338026 48.013471,7.8338025 48.0134209))"^^<http://www.opengis.net/ont/geosparql#wktLiteral>
